id,s,i,r,d,population,long,lat,date
US,0,308850,14652,8407,0,-82.46170658,34.22333378,04-04-2020,
US,0,275586,9707,7087,0,-82.46170658,34.22333378,04-03-2020,
US,0,243453,9001,5926,0,-82.46170658,34.22333378,04-02-2020,
US,0,213372,8474,4757,0,-82.46170658,34.22333378,04-01-2020,
US,0,188172,7024,3873,0,-82.46170658,34.22333378,03-31-2020,
US,0,161807,5644,2978,0,-82.46170658,34.22333378,03-30-2020,
US,0,140886,2665,2467,0,-82.46170658,34.22333378,03-29-2020,
US,0,121478,1072,2026,0,-82.46170658,34.22333378,03-28-2020,
US,0,101657,869,1581,0,-82.46170658,34.22333378,03-27-2020,
US,0,83836,681,1209,0,-82.46170658,34.22333378,03-26-2020,
US,0,65778,361,942,0,-82.46170658,34.22333378,03-25-2020,
US,0,53740,348,706,0,-82.46170658,34.22333378,03-24-2020,
US,0,43667,0,552,0,-82.46170658,34.22333378,03-23-2020,
US,0,33746,0,427,0,-82.46170658,34.22333378,03-22-2020,
CA,0,12978,2577,218,0,-116.5765,53.9333,04-04-2020,
CA,0,12437,2175,179,0,-116.5765,53.9333,04-03-2020,
CA,0,11284,1735,139,0,-116.5765,53.9333,04-02-2020,
CA,0,9560,1324,109,0,-116.5765,53.9333,04-01-2020,
CA,0,8527,1592,101,0,-116.5765,53.9333,03-31-2020,
CA,0,7398,466,80,0,-116.5765,53.9333,03-30-2020,
CA,0,6280,466,64,0,-116.5765,53.9333,03-29-2020,
CA,0,5576,466,61,0,-116.5765,53.9333,03-28-2020,
CA,0,4682,256,54,0,-116.5765,53.9333,03-27-2020,
CA,0,4042,184,38,0,-116.5765,53.9333,03-26-2020,
CA,0,3251,183,30,0,-116.5765,53.9333,03-25-2020,
CA,0,2790,110,26,0,-116.5765,53.9333,03-24-2020,
CA,0,2088,0,25,0,-116.5765,53.9333,03-23-2020,
CA,0,1470,0,21,0,-116.5765,53.9333,03-22-2020,
GB,0,80419,215,4320,0,-63.0686,18.2206,04-04-2020,
GB,0,73559,208,3611,0,-63.0686,18.2206,04-03-2020,
GB,0,65228,192,2926,0,-63.0686,18.2206,04-02-2020,
GB,0,57194,179,2357,0,-63.0686,18.2206,04-01-2020,
GB,0,48990,179,1793,0,-63.0686,18.2206,03-31-2020,
GB,0,43324,171,1411,0,-63.0686,18.2206,03-30-2020,
GB,0,38178,151,1231,0,-63.0686,18.2206,03-29-2020,
GB,0,33452,151,1021,0,-63.0686,18.2206,03-28-2020,
GB,0,28578,151,761,0,-63.0686,18.2206,03-27-2020,
GB,0,22894,150,580,0,-63.0686,18.2206,03-26-2020,
GB,0,18674,140,466,0,-63.0686,18.2206,03-25-2020,
GB,0,15765,140,423,0,-63.0686,18.2206,03-24-2020,
GB,0,12976,140,336,0,-63.0686,18.2206,03-23-2020,
GB,0,11105,95,282,0,-63.0686,18.2206,03-22-2020,
CN,0,84810,76946,3330,0,117.2264,31.8257,04-04-2020,
CN,0,84936,76760,3326,0,117.2264,31.8257,04-03-2020,
CN,0,84977,76565,3322,0,117.2264,31.8257,04-02-2020,
CN,0,85001,76405,3316,0,117.2264,31.8257,04-01-2020,
CN,0,85043,76206,3309,0,117.2264,31.8257,03-31-2020,
CN,0,85165,75923,3308,0,117.2264,31.8257,03-30-2020,
CN,0,85358,75582,3304,0,117.2264,31.8257,03-29-2020,
CN,0,85599,75100,3299,0,117.2264,31.8257,03-28-2020,
CN,0,85778,74720,3296,0,117.2264,31.8257,03-27-2020,
CN,0,86092,74181,3291,0,117.2264,31.8257,03-26-2020,
CN,0,86264,73773,3285,0,117.2264,31.8257,03-25-2020,
CN,0,86621,73280,3281,0,117.2264,31.8257,03-24-2020,
CN,0,86899,72819,3274,0,117.2264,31.8257,03-23-2020,
CN,0,87167,72362,3265,0,117.2264,31.8257,03-22-2020,
NL,0,31536,262,1656,0,-69.9683,12.5211,04-04-2020,
NL,0,29892,260,1490,0,-69.9683,12.5211,04-03-2020,
NL,0,27975,260,1341,0,-69.9683,12.5211,04-02-2020,
NL,0,25957,260,1175,0,-69.9683,12.5211,04-01-2020,
NL,0,24041,253,1040,0,-69.9683,12.5211,03-31-2020,
NL,0,22516,253,865,0,-69.9683,12.5211,03-30-2020,
NL,0,20835,253,772,0,-69.9683,12.5211,03-29-2020,
NL,0,18992,6,640,0,-69.9683,12.5211,03-28-2020,
NL,0,16741,6,547,0,-69.9683,12.5211,03-27-2020,
NL,0,14495,6,435,0,-69.9683,12.5211,03-26-2020,
NL,0,12515,4,357,0,-69.9683,12.5211,03-25-2020,
NL,0,10880,3,277,0,-69.9683,12.5211,03-24-2020,
NL,0,9311,3,214,0,-69.9683,12.5211,03-23-2020,
NL,0,8251,3,180,0,-69.9683,12.5211,03-22-2020,
AU,0,10369,701,30,0,149.0124,-35.4735,04-04-2020,
AU,0,9983,649,28,0,149.0124,-35.4735,04-03-2020,
AU,0,9688,520,24,0,149.0124,-35.4735,04-02-2020,
AU,0,9282,422,20,0,149.0124,-35.4735,04-01-2020,
AU,0,8742,358,18,0,149.0124,-35.4735,03-31-2020,
AU,0,8448,257,17,0,149.0124,-35.4735,03-30-2020,
AU,0,7708,244,16,0,149.0124,-35.4735,03-29-2020,
AU,0,7022,244,14,0,149.0124,-35.4735,03-28-2020,
AU,0,6079,194,13,0,149.0124,-35.4735,03-27-2020,
AU,0,5435,172,13,0,149.0124,-35.4735,03-26-2020,
AU,0,4601,119,8,0,149.0124,-35.4735,03-25-2020,
AU,0,3961,119,8,0,149.0124,-35.4735,03-24-2020,
AU,0,3238,119,7,0,149.0124,-35.4735,03-23-2020,
AU,0,2881,92,7,0,149.0124,-35.4735,03-22-2020,
DK,0,6998,1379,161,0,-6.9118,61.8926,04-04-2020,
DK,0,6466,1287,139,0,-6.9118,61.8926,04-03-2020,
DK,0,5851,1172,123,0,-6.9118,61.8926,04-02-2020,
DK,0,5505,971,104,0,-6.9118,61.8926,04-01-2020,
DK,0,5911,77,90,0,-6.9118,61.8926,03-31-2020,
DK,0,5360,73,77,0,-6.9118,61.8926,03-30-2020,
DK,0,4983,73,72,0,-6.9118,61.8926,03-29-2020,
DK,0,4610,57,65,0,-6.9118,61.8926,03-28-2020,
DK,0,4291,57,52,0,-6.9118,61.8926,03-27-2020,
DK,0,3955,50,41,0,-6.9118,61.8926,03-26-2020,
DK,0,3649,41,34,0,-6.9118,61.8926,03-25-2020,
DK,0,3368,36,32,0,-6.9118,61.8926,03-24-2020,
DK,0,3096,24,24,0,-6.9118,61.8926,03-23-2020,
DK,0,3011,4,13,0,-6.9118,61.8926,03-22-2020,
FR,0,158550,15572,7574,0,-53.0,4.0,04-04-2020,
FR,0,109749,14135,6520,0,-53.0,4.0,04-03-2020,
FR,0,101912,12548,5398,0,-53.0,4.0,04-02-2020,
FR,0,100402,11053,4043,0,-53.0,4.0,04-01-2020,
FR,0,92609,9513,3532,0,-53.0,4.0,03-31-2020,
FR,0,79346,7964,3030,0,-53.0,4.0,03-30-2020,
FR,0,71579,7226,2611,0,-53.0,4.0,03-29-2020,
FR,0,68169,5724,2317,0,-53.0,4.0,03-28-2020,
FR,0,59100,5707,1997,0,-53.0,4.0,03-27-2020,
FR,0,52449,4955,1698,0,-53.0,4.0,03-26-2020,
FR,0,45960,3907,1333,0,-53.0,4.0,03-25-2020,
FR,0,40854,3288,1102,0,-53.0,4.0,03-24-2020,
FR,0,37177,2207,862,0,-53.0,4.0,03-23-2020,
FR,0,29551,2201,676,0,-53.0,4.0,03-22-2020,
AF,0,581,10,7,0,67.709953,33.93911,04-04-2020,
AF,0,546,10,6,0,67.709953,33.93911,04-03-2020,
AF,0,530,10,6,0,67.709953,33.93911,04-02-2020,
