Airline_ID,From_Airport_Code,From_Airport,From_Name,From_City,From_Country,From_Latitude,From_Longitude,To_Airport_Code,To_Airport,To_Name,To_City,To_Country,To_Latitude,To_Longitude
4Q,5539,HEA,Herat Airport,Herat,Afghanistan,34.20999908,62.22829819,2846,DEL,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104
4Q,5539,HEA,Herat Airport,Herat,Afghanistan,34.20999908,62.22829819,6580,ISB,New Islamabad International Airport,Islamabad,Pakistan,33.560713,72.851613
4Q,5539,HEA,Herat Airport,Herat,Afghanistan,34.20999908,62.22829819,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303
EP,5539,HEA,Herat Airport,Herat,Afghanistan,34.20999908,62.22829819,9000,MHD,Mashhad International Airport,Mashhad,Iran,36.23519897,59.64099884
FG,5539,HEA,Herat Airport,Herat,Afghanistan,34.20999908,62.22829819,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303
HN,5539,HEA,Herat Airport,Herat,Afghanistan,34.20999908,62.22829819,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303
4Q,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303,2846,DEL,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104
4Q,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303,3330,DXB,Dubai International Airport,Dubai,United Arab Emirates,25.25279999,55.36439896
4Q,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303,5539,HEA,Herat Airport,Herat,Afghanistan,34.20999908,62.22829819
4Q,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303,6580,ISB,New Islamabad International Airport,Islamabad,Pakistan,33.560713,72.851613
4Q,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303,9482,MZR,Mazar I Sharif Airport,Mazar-i-sharif,Afghanistan,36.70690155,67.20970154
AI,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303,2846,DEL,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104
EK,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303,3330,DXB,Dubai International Airport,Dubai,United Arab Emirates,25.25279999,55.36439896
EP,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303,6371,IKA,Imam Khomeini International Airport,Tehran,Iran,35.41609955,51.15219879
EP,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303,9000,MHD,Mashhad International Airport,Mashhad,Iran,36.23519897,59.64099884
FG,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303,2846,DEL,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104
FG,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303,3330,DXB,Dubai International Airport,Dubai,United Arab Emirates,25.25279999,55.36439896
FG,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303,3876,ESB,Esenboğa International Airport,Ankara,Turkey,40.12810135,32.99509811
FG,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303,5386,GYD,Heydar Aliyev International Airport,Baku,Azerbaijan,40.46749878,50.04669952
FG,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303,5539,HEA,Herat Airport,Herat,Afghanistan,34.20999908,62.22829819
FG,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303,7548,KDH,Kandahar Airport,Kandahar,Afghanistan,31.50580025,65.84780121
FG,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303,8043,KWI,Kuwait International Airport,Kuwait,Kuwait,29.22660065,47.96889877
FZ,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303,3305,DWC,Al Maktoum International Airport,Dubai,United Arab Emirates,24.896356,55.161389
FZ,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303,3330,DXB,Dubai International Airport,Dubai,United Arab Emirates,25.25279999,55.36439896
HN,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303,5539,HEA,Herat Airport,Herat,Afghanistan,34.20999908,62.22829819
HN,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303,7548,KDH,Kandahar Airport,Kandahar,Afghanistan,31.50580025,65.84780121
HN,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303,9482,MZR,Mazar I Sharif Airport,Mazar-i-sharif,Afghanistan,36.70690155,67.20970154
PK,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303,6580,ISB,New Islamabad International Airport,Islamabad,Pakistan,33.560713,72.851613
PK,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303,10969,PEW,Peshawar International Airport,Peshawar,Pakistan,33.9939003,71.51460266
RQ,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303,2846,DEL,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104
RQ,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303,3330,DXB,Dubai International Airport,Dubai,United Arab Emirates,25.25279999,55.36439896
RQ,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303,3375,DYU,Dushanbe Airport,Dushanbe,Tajikistan,38.54330063,68.82499695
SG,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303,2846,DEL,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104
TK,7500,KBL,Hamid Karzai International Airport,Kabul,Afghanistan,34.565899,69.212303,6598,IST,Istanbul Airport,Istanbul,Turkey,41.275278,28.751944
EP,7548,KDH,Kandahar Airport,Kandahar,Afghanistan,31.50580025,65.84780121,9000,MHD,Mashhad International Airport,Mashhad,Iran,36.23519897,59.64099884
FG,7548,KDH,Kandahar Airport,Kandahar,Afghanistan,31.50580025,65.84780121,2846,DEL,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104
